"","Gene","NE","ERG","MRG","entrez","cluster"
"1","MAF",0.777359635,1.258183216,0.513071043,4094,1
"2","SOX2",0,-0.340170328,0,6657,2
"3","CTNNB1",-0.779973267,-0.82789144,0,1499,2
"4","SALL1",-0.177470391,-0.223683081,0,6299,2
"5","LGR4",0,-0.501467267,0,55366,2
"6","NANOG",1.703625822,1.650520965,0.87088329,79923,1
"7","TFAP2A",0,0,-0.257875175,7020,2
"8","LHX5",0.455726486,0,0,64211,2
"9","NR2F2",0.615149277,0.807859987,0.250080078,7025,1
"10","MYBL1",0.35657713,0.968155881,0,4603,1
"11","ZFP36",-0.168218996,0,0,7538,2
"12","RFX5",0,0.528117446,0.434427915,5993,1
"13","NFKB1",-0.214199804,-0.342248938,-0.187691738,4790,2
"14","DDIT3",0,0,-0.316229887,1649,2
"15","NFE2L2",-0.374858441,0,-0.241429111,4780,2
"16","TERF2IP",0.805284388,0.973995758,0,54386,1
"17","SKI",-0.662871216,-0.511475634,-0.548584447,6497,2
"18","EZH2",0,0,-0.300801642,2146,2
"19","ZBTB16",0.167253759,0.699738228,-0.309912675,7704,1
"20","ZNF148",0.37637004,0.242922909,0.502485801,7707,1
"21","VEZF1",-0.270206373,0.364649082,0.425661913,7716,2
"22","EOMES",0,0,0.295176727,8320,2
"23","CSDA",0,-0.350359451,0,8531,2
"24","LHX2",-1.118058801,0,0,9355,2
"25","ZEB2",0.225386973,0,0,9839,2
"26","ATF3",0,0.871956318,0.765102296,467,1
"27","ATF4",0.157168148,0,0,468,2
"28","BCL6",0,0.166804932,0,604,2
"29","ZFP36L1",0,-0.17152139,0,677,2
"30","FOXN3",0.485942293,0.571150954,0,1112,1
"31","CREM",0.508723557,0.508801446,0,1390,1
"32","TSC22D3",0.491422524,0.41929988,0.328277612,1831,1
"33","E2F4",0.109452163,0.445070501,0,1874,1
"34","EGR1",-0.582868468,0,0.168784926,1958,2
"35","EGR2",0,-0.294607586,-0.259112011,1959,2
"36","EMX2",0,0,0.374120412,2018,2
"37","EN2",-0.327941653,0,0,2020,2
"38","ERF",-0.151585602,0,0,2077,2
"39","ETV4",0,0,0.327660146,2118,2
"40","ETV5",-0.348773402,-0.214985881,0,2119,2
"41","FOXG1",0,0.471591782,0,2290,1
"42","RGS6",-0.197338336,-0.23396786,0,9628,2
"43","TBR1",0.621542612,0.567689374,0,10716,1
"44","NFIB",0,-0.281178828,0.316330176,4781,2
"45","RELA",0.412443491,0.431660376,-0.27846662,5970,1
"46","NFIL3",0.326024279,0.337873772,0.356916601,4783,1
"47","REST",0,0,0.66497906,5978,2
"48","NFRKB",0,0.380632233,0,4798,2
"49","ISL1",0,0,-0.092425863,3670,2
"50","RFX4",0.487255508,1.402496857,0.462240877,5992,1
"51","ZFHX4",0.358873074,0.930392593,0.728224964,79776,1
"52","SIX3",-0.285604663,0.153785188,0,6496,2
"53","PRDM4",-0.309151805,0,0,11108,2
"54","SOX21",-0.490937038,0,-0.602051727,11166,2
"55","OTX1",-0.61353237,-0.534659015,0,5013,2
"56","FOXM1",0.573658411,0.978012127,0,2305,1
"57","HOXB2",0,0,0.201150872,3212,2
"58","SIX5",0.769546457,0,0,147912,1
"59","FEZF2",-0.420071357,-0.13731915,-0.264930504,55079,2
"60","SOX1",0,0.605639587,0,6656,1
"61","TEAD3",-0.309413493,0,0,7005,2
"62","MEIS1",0,0,-0.208892221,4211,2
"63","PBRM1",0,-0.578997348,-0.349870477,55193,2
"64","FOS",0,0,-0.342525719,2353,2
"65","MEIS2",-0.420692606,-0.326290843,0,4212,2
"66","HES4",0,0,-1.434875389,57801,2
"67","ZNF219",-0.22621938,0,-0.37226357,51222,2
"68","NFIA",0.542516557,0.847681918,0,4774,1
"69","ZNF441",-0.414979037,0,-0.211713398,126068,2
"70","LCOR",0.343433703,-0.142390383,0,84458,2
"71","HOPX",0.663416442,0,0,84525,1
"72","SLC2A4RG",-0.319028719,0,-0.410298151,56731,2
"73","BARHL1",0,0,-0.643277356,56751,2
"74","ZSCAN18",0,-0.344920908,0,65982,2
"75","ZNF521",0.157724855,0.514369838,0,25925,1
"76","IRX3",0.327559054,0,0,79191,2
"77","KLF13",-0.292468106,0.595211866,0,51621,2
"78","ATOH8",0.690013561,1.032521685,0.17923884,84913,1
"79","SIX4",0,0.672223379,0,51804,1
"80","ID3",-0.513841614,0,-0.854863044,3399,2
"81","ID4",0,0,-0.159525187,3400,2
"82","ZEB1",0.448924513,0,0.418724355,6935,1
"83","NEUROD4",0.282206511,0.691961976,0,58158,1
"84","ATF5",0.581080615,0.745334772,0,22809,1
"85","TGIF2",0,0,0.118770847,60436,2
"86","SOX8",0.465926365,0,0,30812,2
"87","HES5",0,0,-1.973938807,388585,2
"88","OLIG2",-0.323380762,-0.408793346,0,10215,2
"89","ZNF423",1.109914533,0.673182571,0,23090,1
"90","PBX3",0.192934137,-0.18345843,-0.143735078,5090,2
"91","CIC",-0.692654037,-0.146956257,0,23152,2
"92","JDP2",-0.522116503,-0.216474265,0,122953,2
"93","HMGB2",0.399713523,0,0,3148,2
"94","ID1",0,0,-0.304124605,3397,2
"95","ARNT2",0.284601569,0.375755317,0,9915,1
"96","SOX11",0,-0.444183278,-0.195594672,6664,2
"97","NR4A1",0,-0.438646213,0,3164,2
"98","TSHZ1",0.291549469,0.376606703,0,10194,1
